Category,Discounted,SoldBy,Url,Title,CurrentPrice,Savings,OriginalPrice,SellerRating
,False,,https://uae.souq.com/ae-en/calvin-klein-boys-flat-front-pant-midnight-navy-18-husky-31707504/i/,,,,,
,False,,https://uae.souq.com/ae-en/calvin-klein-boys-flat-front-pant-black-16-31676934/i/,,,,,
,False,,https://uae.souq.com/ae-en/calvin-klein-women-s-2-button-suit-jacket-khaki-2-24595557/i/,,,,,
,False,,https://uae.souq.com/ae-en/calvin-klein-big-boys-sharkskin-blue-deco-pant-light-grey-14-31788617/i/,,,,,
,False,,https://uae.souq.com/ae-en/ferucio-wedding-suits-for-boys-22463591/i/,,,-79.00 ,,(94% Positive Rating)
,False,,https://uae.souq.com/ae-en/calvin-klein-boys-flat-front-pant-midnight-navy-16-husky-31686502/i/,,,,,
,False,,https://uae.souq.com/ae-en/wss-wessi-business-suit-for-men-29837769/i/,,,-438.90 ,,(69% Positive Rating)
,False,,https://uae.souq.com/ae-en/calvin-klein-women-s-classic-fit-suit-pant-khaki-8-31706544/i/,,,,,
,False,,https://uae.souq.com/ae-en/wss-wessi-business-suit-for-men-29865786/i/,,,-621.60 ,,(69% Positive Rating)
,False,,https://uae.souq.com/ae-en/wss-wessi-business-suit-for-men-29865396/i/,,,-289.80 ,,(69% Positive Rating)
,False,,https://uae.souq.com/ae-en/calvin-klein-big-boys-sharkskin-blue-deco-pant-light-grey-20-31776434/i/,,,,,
,False,,https://uae.souq.com/ae-en/le-suit-women-s-houndstooth-3-button-skirt-suit-grey-multi-14-32874120/i/,,,,,
,False,,https://uae.souq.com/ae-en/ferucio-business-suit-for-boys-30433144/i/,,,-447.00 ,,(25% Positive Rating)
,False,,https://uae.souq.com/ae-en/ferucio-business-suit-for-boys-30438140/i/,,,-149.00 ,,(94% Positive Rating)
,True,,https://uae.souq.com/ae-en/hugo-boss-50377659-001-boxer-for-men-black-30071306/i/,,,59.99 ,129.00 ,
,False,,https://uae.souq.com/ae-en/wss-wessi-business-suit-for-men-29865791/i/,,,-289.80 ,,(69% Positive Rating)
,False,,https://uae.souq.com/ae-en/wss-wessi-business-suit-for-men-29770025/i/,,,-127.75 ,,(91% Positive Rating)
,False,,https://uae.souq.com/ae-en/ferucio-business-suit-for-boys-30433036/i/,,,-223.50 ,,(76% Positive Rating)
,True,,https://uae.souq.com/ae-en/hugo-boss-50377659-405-boxer-for-men-dark-blue-30071251/i/,,,59.99 ,129.00 ,
,True,,https://uae.souq.com/ae-en/abanderado-princesa-black-thermal-underwear-for-women-23334286/i/,,,19.15 ,58.00 ,(100% Positive Rating)
,True,,https://uae.souq.com/ae-en/diesel-boxers-for-men-set-of-3-black-blue-multi-color-30534662/i/,,,89.99 ,209.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-boxers-for-men-set-of-2-grey-blue-30677824/i/,,,70.00 ,149.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-multi-color-boxer-for-men-30677863/i/,,,89.99 ,209.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-briefs-for-men-set-of-2-navy-blue-30678017/i/,,,60.00 ,139.00 ,
,False,,https://uae.souq.com/ae-en/men-s-slimming-body-shaper-black-xl-32845306/i/,,,-15.00 ,,(75% Positive Rating)
,True,,https://uae.souq.com/ae-en/emporio-armani-briefs-for-men-set-of-2-black-30677896/i/,,,60.00 ,139.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-briefs-for-men-set-of-2-black-grey-30678025/i/,,,60.00 ,139.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-boxers-for-men-set-of-2-black-30677941/i/,,,70.00 ,149.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-boxers-for-men-set-of-3-multicolor-30678085/i/,,,89.99 ,209.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-briefs-for-men-set-of-2-black-grey-30678060/i/,,,59.99 ,129.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-tank-top-for-men-set-of-2-black-grey-30677882/i/,,,100.00 ,209.00 ,
,True,,https://uae.souq.com/ae-en/emporio-armani-boxers-for-men-set-of-2-grey-blue-30677912/i/,,,69.99 ,159.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325403-001-boxer-for-men-pack-of-3-black-30071250/i/,,,69.99 ,159.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325403-100-boxer-for-men-pack-of-3-white-30071248/i/,,,69.99 ,159.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325386-100-under-shirt-for-men-pack-of-3-white-30071199/i/,,,56.05 ,160.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325381-487-brief-for-men-pack-of-3-blue-grey-30071243/i/,,,37.55 ,110.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325383-001-boxer-for-men-pack-of-3-black-30071276/i/,,,60.00 ,139.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325404-061-boxer-for-men-pack-of-3-grey-black-30071260/i/,,,69.99 ,159.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325384-061-boxer-for-men-pack-of-3-grey-black-30071150/i/,,,46.55 ,140.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325402-487-brief-for-men-pack-of-3-blue-grey-30071212/i/,,,60.00 ,139.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325384-001-boxer-for-men-pack-of-3-black-30071214/i/,,,46.55 ,140.00 ,
,True,,https://uae.souq.com/ae-en/hugo-boss-50325383-061-boxer-for-men-pack-of-3-grey-black-30071307/i/,,,46.55 ,140.00 ,
,True,,https://uae.souq.com/ae-en/magic-slim-vest-for-men-white-xl-6906937/i/,,,30.00 ,42.00 ,
,True,,https://uae.souq.com/ae-en/tally-weijl-black-round-neck-t-shirt-for-women-30629677/i/,,,9.99 ,29.00 ,
,True,,https://uae.souq.com/ae-en/tally-weijl-blue-woven-sleeve-shirt-for-women-30629528/i/,,,20.00 ,59.00 ,
,True,,https://uae.souq.com/ae-en/lacoste-grey-round-neck-t-shirt-for-men-30556689/i/,,,80.00 ,239.00 ,
,True,,https://uae.souq.com/ae-en/lacoste-multi-color-shirt-neck-polo-for-men-30556677/i/,,,129.99 ,349.00 ,
,False,,https://uae.souq.com/ae-en/natural-bamboo-grey-under-shirt-for-women-7502191/i/,,,-14.50 ,,
,False,,https://uae.souq.com/ae-en/grey-under-shirt-for-women-6991518/i/,,,-13.80 ,,(91% Positive Rating)
,False,,https://uae.souq.com/ae-en/grey-under-shirt-for-women-7042699/i/,,,-11.60 ,,(91% Positive Rating)
,True,,https://uae.souq.com/ae-en/versace-navy-blue-round-neck-t-shirt-for-men-30473418/i/,,,120.99 ,270.00 ,
,True,,https://uae.souq.com/ae-en/versace-royal-blue-round-neck-t-shirt-for-men-30473413/i/,,,120.99 ,270.00 ,
,True,,https://uae.souq.com/ae-en/versace-red-round-neck-t-shirt-for-men-30473381/i/,,,120.99 ,270.00 ,
,True,,https://uae.souq.com/ae-en/versace-black-round-neck-t-shirt-for-men-30473236/i/,,,120.99 ,270.00 ,
,True,,https://uae.souq.com/ae-en/lacoste-polo-for-men-white-30498116/i/,,,149.99 ,399.00 ,
,True,,https://uae.souq.com/ae-en/versace-navy-blue-round-neck-t-shirt-for-men-30473479/i/,,,120.99 ,270.00 ,
,True,,https://uae.souq.com/ae-en/lacoste-t-shirt-for-men-red-white-30498380/i/,,,90.00 ,249.00 ,
,True,,https://uae.souq.com/ae-en/versace-white-round-neck-t-shirt-for-men-30473415/i/,,,120.99 ,270.00 ,
,True,,https://uae.souq.com/ae-en/lacoste-polo-for-men-navy-blue-30498366/i/,,,129.99 ,349.00 ,
,True,,https://uae.souq.com/ae-en/guess-rn-crop-top-for-women-pink-30425007/i/,,,50.00 ,149.00 ,
,True,,https://uae.souq.com/ae-en/guess-vn-triangle-tank-top-for-women-white-30424935/i/,,,50.00 ,149.00 ,
,True,,https://uae.souq.com/ae-en/guess-black-v-neck-tank-top-for-women-30425015/i/,,,50.00 ,149.00 ,
,True,,https://uae.souq.com/ae-en/lacoste-black-round-neck-t-shirt-for-men-30556754/i/,,,80.00 ,239.00 ,
,True,,https://uae.souq.com/ae-en/versace-black-shirt-neck-polo-for-men-30473237/i/,,,170.99 ,370.00 ,
